,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '100', 'PerUser': '4.10'}",501,{'PerMillion': '900'}
1,2019-12-31,"{'PerMillion': '71', 'PerUser': '3.10'}",645,{'PerMillion': '750'}
2,2020-01-01,"{'PerMillion': '71', 'PerUser': '2.80'}",661,{'PerMillion': '780'}
3,2020-01-02,"{'PerMillion': '90', 'PerUser': '3.50'}",517,{'PerMillion': '940'}
4,2020-01-03,"{'PerMillion': '77', 'PerUser': '3.00'}",546,{'PerMillion': '940'}
5,2020-01-04,"{'PerMillion': '95', 'PerUser': '3.20'}",502,{'PerMillion': '960'}
6,2020-01-05,"{'PerMillion': '100', 'PerUser': '3.60'}",525,{'PerMillion': '890'}
7,2020-01-06,"{'PerMillion': '88', 'PerUser': '3.20'}",465,{'PerMillion': '1000'}
8,2020-01-07,"{'PerMillion': '81', 'PerUser': '3.10'}",521,{'PerMillion': '950'}
9,2020-01-08,"{'PerMillion': '74', 'PerUser': '3.40'}",615,{'PerMillion': '830'}
10,2020-01-09,"{'PerMillion': '95', 'PerUser': '3.50'}",476,{'PerMillion': '1000'}
11,2020-01-10,"{'PerMillion': '91', 'PerUser': '3.80'}",558,{'PerMillion': '860'}
12,2020-01-11,"{'PerMillion': '75', 'PerUser': '2.80'}",584,{'PerMillion': '860'}
13,2020-01-12,"{'PerMillion': '110', 'PerUser': '3.70'}",474,{'PerMillion': '950'}
14,2020-01-13,"{'PerMillion': '88', 'PerUser': '3.40'}",503,{'PerMillion': '970'}
15,2020-01-14,"{'PerMillion': '75', 'PerUser': '3.20'}",549,{'PerMillion': '880'}
16,2020-01-15,"{'PerMillion': '82', 'PerUser': '3.30'}",539,{'PerMillion': '900'}
17,2020-01-16,"{'PerMillion': '92', 'PerUser': '3.60'}",494,{'PerMillion': '950'}
18,2020-01-17,"{'PerMillion': '73', 'PerUser': '3.10'}",566,{'PerMillion': '860'}
19,2020-01-18,"{'PerMillion': '100', 'PerUser': '3.30'}",454,{'PerMillion': '1000'}
20,2020-01-19,"{'PerMillion': '110', 'PerUser': '3.60'}",468,{'PerMillion': '970'}
21,2020-01-20,"{'PerMillion': '87', 'PerUser': '3.30'}",502,{'PerMillion': '980'}
22,2020-01-21,"{'PerMillion': '87', 'PerUser': '3.20'}",457,{'PerMillion': '1000'}
23,2020-01-22,"{'PerMillion': '100', 'PerUser': '3.60'}",444,{'PerMillion': '1000'}
24,2020-01-23,"{'PerMillion': '89', 'PerUser': '3.30'}",480,{'PerMillion': '980'}
25,2020-01-24,"{'PerMillion': '86', 'PerUser': '3.30'}",529,{'PerMillion': '930'}
26,2020-01-25,"{'PerMillion': '74', 'PerUser': '2.60'}",587,{'PerMillion': '890'}
27,2020-01-26,"{'PerMillion': '66', 'PerUser': '2.70'}",681,{'PerMillion': '780'}
28,2020-01-27,"{'PerMillion': '76', 'PerUser': '3.00'}",540,{'PerMillion': '950'}
29,2020-01-28,"{'PerMillion': '93', 'PerUser': '3.30'}",457,{'PerMillion': '1100'}
30,2020-01-29,"{'PerMillion': '85', 'PerUser': '3.40'}",531,{'PerMillion': '930'}
31,2020-01-30,"{'PerMillion': '68', 'PerUser': '2.90'}",596,{'PerMillion': '870'}
32,2020-01-31,"{'PerMillion': '60', 'PerUser': '2.80'}",679,{'PerMillion': '790'}
33,2020-02-01,"{'PerMillion': '86', 'PerUser': '3.40'}",592,{'PerMillion': '820'}
34,2020-02-02,"{'PerMillion': '72', 'PerUser': '3.00'}",654,{'PerMillion': '770'}
35,2020-02-03,"{'PerMillion': '70', 'PerUser': '2.90'}",552,{'PerMillion': '930'}
36,2020-02-04,"{'PerMillion': '65', 'PerUser': '3.00'}",626,{'PerMillion': '850'}
37,2020-02-05,"{'PerMillion': '82', 'PerUser': '3.30'}",515,{'PerMillion': '930'}
38,2020-02-06,"{'PerMillion': '76', 'PerUser': '3.20'}",561,{'PerMillion': '870'}
39,2020-02-07,"{'PerMillion': '69', 'PerUser': '3.00'}",608,{'PerMillion': '850'}
40,2020-02-08,"{'PerMillion': '66', 'PerUser': '2.50'}",607,{'PerMillion': '870'}
41,2020-02-09,"{'PerMillion': '110', 'PerUser': '3.60'}",467,{'PerMillion': '970'}
42,2020-02-10,"{'PerMillion': '66', 'PerUser': '2.80'}",581,{'PerMillion': '890'}
43,2020-02-11,"{'PerMillion': '63', 'PerUser': '2.80'}",622,{'PerMillion': '830'}
44,2020-02-12,"{'PerMillion': '56', 'PerUser': '2.70'}",684,{'PerMillion': '780'}
45,2020-02-13,"{'PerMillion': '71', 'PerUser': '3.20'}",591,{'PerMillion': '840'}
46,2020-02-14,"{'PerMillion': '67', 'PerUser': '2.70'}",574,{'PerMillion': '900'}
47,2020-02-15,"{'PerMillion': '95', 'PerUser': '3.00'}",458,{'PerMillion': '1000'}
48,2020-02-16,"{'PerMillion': '93', 'PerUser': '3.10'}",479,{'PerMillion': '970'}
49,2020-02-17,"{'PerMillion': '88', 'PerUser': '3.30'}",493,{'PerMillion': '1000'}
50,2020-02-18,"{'PerMillion': '74', 'PerUser': '3.00'}",553,{'PerMillion': '940'}
51,2020-02-19,"{'PerMillion': '87', 'PerUser': '3.40'}",502,{'PerMillion': '980'}
52,2020-02-20,"{'PerMillion': '68', 'PerUser': '3.20'}",641,{'PerMillion': '810'}
53,2020-02-21,"{'PerMillion': '89', 'PerUser': '3.80'}",539,{'PerMillion': '860'}
54,2020-02-22,"{'PerMillion': '76', 'PerUser': '2.90'}",559,{'PerMillion': '870'}
55,2020-02-23,"{'PerMillion': '69', 'PerUser': '2.70'}",604,{'PerMillion': '850'}
56,2020-02-24,"{'PerMillion': '74', 'PerUser': '3.10'}",583,{'PerMillion': '910'}
57,2020-02-25,"{'PerMillion': '65', 'PerUser': '3.20'}",671,{'PerMillion': '770'}
58,2020-02-26,"{'PerMillion': '68', 'PerUser': '3.20'}",630,{'PerMillion': '810'}
59,2020-02-27,"{'PerMillion': '57', 'PerUser': '2.80'}",689,{'PerMillion': '790'}
60,2020-02-28,"{'PerMillion': '52', 'PerUser': '2.50'}",745,{'PerMillion': '760'}
61,2020-02-29,"{'PerMillion': '65', 'PerUser': '2.60'}",631,{'PerMillion': '850'}
62,2020-03-01,"{'PerMillion': '97', 'PerUser': '3.70'}",538,{'PerMillion': '860'}
63,2020-03-02,"{'PerMillion': '55', 'PerUser': '3.00'}",775,{'PerMillion': '720'}
64,2020-03-03,"{'PerMillion': '74', 'PerUser': '3.60'}",639,{'PerMillion': '800'}
65,2020-03-04,"{'PerMillion': '61', 'PerUser': '2.90'}",660,{'PerMillion': '820'}
66,2020-03-05,"{'PerMillion': '67', 'PerUser': '3.10'}",612,{'PerMillion': '830'}
67,2020-03-06,"{'PerMillion': '52', 'PerUser': '2.50'}",701,{'PerMillion': '810'}
68,2020-03-07,"{'PerMillion': '62', 'PerUser': '2.60'}",696,{'PerMillion': '790'}
69,2020-03-08,"{'PerMillion': '65', 'PerUser': '2.80'}",706,{'PerMillion': '760'}
70,2020-03-09,"{'PerMillion': '55', 'PerUser': '3.00'}",768,{'PerMillion': '730'}
71,2020-03-10,"{'PerMillion': '60', 'PerUser': '3.00'}",733,{'PerMillion': '750'}
72,2020-03-11,"{'PerMillion': '36', 'PerUser': '2.80'}",1207,{'PerMillion': '490'}
73,2020-03-12,"{'PerMillion': '44', 'PerUser': '2.90'}",976,{'PerMillion': '590'}
74,2020-03-13,"{'PerMillion': '44', 'PerUser': '2.80'}",1004,{'PerMillion': '600'}
75,2020-03-14,"{'PerMillion': '49', 'PerUser': '2.80'}",974,{'PerMillion': '600'}
76,2020-03-15,"{'PerMillion': '56', 'PerUser': '2.80'}",873,{'PerMillion': '670'}
77,2020-03-16,"{'PerMillion': '48', 'PerUser': '2.80'}",903,{'PerMillion': '650'}
78,2020-03-17,"{'PerMillion': '46', 'PerUser': '3.10'}",996,{'PerMillion': '580'}
79,2020-03-18,"{'PerMillion': '44', 'PerUser': '2.90'}",1019,{'PerMillion': '580'}
80,2020-03-19,"{'PerMillion': '30', 'PerUser': '3.50'}",1768,{'PerMillion': '330'}
81,2020-03-20,"{'PerMillion': '34', 'PerUser': '3.60'}",1627,{'PerMillion': '360'}
82,2020-03-21,"{'PerMillion': '40', 'PerUser': '2.70'}",1196,{'PerMillion': '520'}
83,2020-03-22,"{'PerMillion': '27', 'PerUser': '1.70'}",1395,{'PerMillion': '540'}
84,2020-03-23,"{'PerMillion': '36', 'PerUser': '3.00'}",1312,{'PerMillion': '470'}
85,2020-03-24,"{'PerMillion': '12', 'PerUser': '2.20'}",3273,{'PerMillion': '220'}
86,2020-03-25,"{'PerMillion': '26', 'PerUser': '2.50'}",1677,{'PerMillion': '400'}
87,2020-03-26,"{'PerMillion': '29', 'PerUser': '3.00'}",1569,{'PerMillion': '390'}
