,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '308', 'PerUser': '7.00'}",261,{'PerMillion': '1600'}
1,2019-12-31,"{'PerMillion': '240', 'PerUser': '5.30'}",273,{'PerMillion': '1500'}
2,2020-01-01,"{'PerMillion': '227', 'PerUser': '5.70'}",318,{'PerMillion': '1200'}
3,2020-01-02,"{'PerMillion': '290', 'PerUser': '5.90'}",241,{'PerMillion': '1800'}
4,2020-01-03,"{'PerMillion': '348', 'PerUser': '7.20'}",227,{'PerMillion': '1800'}
5,2020-01-04,"{'PerMillion': '301', 'PerUser': '5.80'}",245,{'PerMillion': '1700'}
6,2020-01-05,"{'PerMillion': '352', 'PerUser': '6.70'}",246,{'PerMillion': '1700'}
7,2020-01-06,"{'PerMillion': '286', 'PerUser': '6.40'}",247,{'PerMillion': '1700'}
8,2020-01-07,"{'PerMillion': '261', 'PerUser': '5.60'}",251,{'PerMillion': '1700'}
9,2020-01-08,"{'PerMillion': '242', 'PerUser': '5.90'}",276,{'PerMillion': '1600'}
10,2020-01-09,"{'PerMillion': '276', 'PerUser': '6.40'}",253,{'PerMillion': '1600'}
11,2020-01-10,"{'PerMillion': '306', 'PerUser': '6.50'}",241,{'PerMillion': '1700'}
12,2020-01-11,"{'PerMillion': '286', 'PerUser': '6.10'}",268,{'PerMillion': '1500'}
13,2020-01-12,"{'PerMillion': '332', 'PerUser': '6.70'}",244,{'PerMillion': '1600'}
14,2020-01-13,"{'PerMillion': '260', 'PerUser': '5.60'}",238,{'PerMillion': '1700'}
15,2020-01-14,"{'PerMillion': '293', 'PerUser': '6.30'}",232,{'PerMillion': '1700'}
16,2020-01-15,"{'PerMillion': '298', 'PerUser': '6.70'}",241,{'PerMillion': '1600'}
17,2020-01-16,"{'PerMillion': '303', 'PerUser': '6.60'}",233,{'PerMillion': '1700'}
18,2020-01-17,"{'PerMillion': '272', 'PerUser': '6.20'}",255,{'PerMillion': '1600'}
19,2020-01-18,"{'PerMillion': '309', 'PerUser': '6.30'}",249,{'PerMillion': '1600'}
20,2020-01-19,"{'PerMillion': '327', 'PerUser': '6.50'}",237,{'PerMillion': '1600'}
21,2020-01-20,"{'PerMillion': '300', 'PerUser': '6.40'}",229,{'PerMillion': '1700'}
22,2020-01-21,"{'PerMillion': '249', 'PerUser': '6.10'}",259,{'PerMillion': '1600'}
23,2020-01-22,"{'PerMillion': '286', 'PerUser': '6.20'}",238,{'PerMillion': '1700'}
24,2020-01-23,"{'PerMillion': '272', 'PerUser': '6.20'}",248,{'PerMillion': '1600'}
25,2020-01-24,"{'PerMillion': '247', 'PerUser': '5.90'}",267,{'PerMillion': '1500'}
26,2020-01-25,"{'PerMillion': '340', 'PerUser': '7.10'}",242,{'PerMillion': '1500'}
27,2020-01-26,"{'PerMillion': '315', 'PerUser': '6.10'}",254,{'PerMillion': '1600'}
28,2020-01-27,"{'PerMillion': '291', 'PerUser': '6.50'}",240,{'PerMillion': '1700'}
29,2020-01-28,"{'PerMillion': '283', 'PerUser': '6.40'}",247,{'PerMillion': '1700'}
30,2020-01-29,"{'PerMillion': '261', 'PerUser': '5.80'}",249,{'PerMillion': '1700'}
31,2020-01-30,"{'PerMillion': '239', 'PerUser': '6.00'}",271,{'PerMillion': '1500'}
32,2020-01-31,"{'PerMillion': '262', 'PerUser': '6.60'}",276,{'PerMillion': '1400'}
33,2020-02-01,"{'PerMillion': '284', 'PerUser': '6.10'}",268,{'PerMillion': '1500'}
34,2020-02-02,"{'PerMillion': '301', 'PerUser': '6.80'}",270,{'PerMillion': '1400'}
35,2020-02-03,"{'PerMillion': '284', 'PerUser': '6.80'}",257,{'PerMillion': '1600'}
36,2020-02-04,"{'PerMillion': '291', 'PerUser': '6.60'}",236,{'PerMillion': '1700'}
37,2020-02-05,"{'PerMillion': '274', 'PerUser': '6.20'}",246,{'PerMillion': '1700'}
38,2020-02-06,"{'PerMillion': '246', 'PerUser': '6.40'}",280,{'PerMillion': '1400'}
39,2020-02-07,"{'PerMillion': '331', 'PerUser': '8.00'}",247,{'PerMillion': '1500'}
40,2020-02-08,"{'PerMillion': '324', 'PerUser': '7.30'}",266,{'PerMillion': '1400'}
41,2020-02-09,"{'PerMillion': '360', 'PerUser': '7.50'}",249,{'PerMillion': '1600'}
42,2020-02-10,"{'PerMillion': '361', 'PerUser': '8.30'}",242,{'PerMillion': '1700'}
43,2020-02-11,"{'PerMillion': '331', 'PerUser': '8.40'}",264,{'PerMillion': '1500'}
44,2020-02-12,"{'PerMillion': '339', 'PerUser': '8.00'}",241,{'PerMillion': '1600'}
45,2020-02-13,"{'PerMillion': '360', 'PerUser': '8.80'}",242,{'PerMillion': '1500'}
46,2020-02-14,"{'PerMillion': '293', 'PerUser': '7.20'}",260,{'PerMillion': '1500'}
47,2020-02-15,"{'PerMillion': '400', 'PerUser': '9.00'}",249,{'PerMillion': '1500'}
48,2020-02-16,"{'PerMillion': '425', 'PerUser': '8.20'}",223,{'PerMillion': '1700'}
49,2020-02-17,"{'PerMillion': '334', 'PerUser': '8.00'}",250,{'PerMillion': '1600'}
50,2020-02-18,"{'PerMillion': '371', 'PerUser': '8.60'}",236,{'PerMillion': '1700'}
51,2020-02-19,"{'PerMillion': '264', 'PerUser': '6.50'}",270,{'PerMillion': '1600'}
52,2020-02-20,"{'PerMillion': '285', 'PerUser': '6.30'}",247,{'PerMillion': '1700'}
53,2020-02-21,"{'PerMillion': '234', 'PerUser': '5.50'}",264,{'PerMillion': '1600'}
54,2020-02-22,"{'PerMillion': '284', 'PerUser': '6.40'}",264,{'PerMillion': '1500'}
55,2020-02-23,"{'PerMillion': '343', 'PerUser': '7.10'}",251,{'PerMillion': '1600'}
56,2020-02-24,"{'PerMillion': '267', 'PerUser': '5.80'}",251,{'PerMillion': '1800'}
57,2020-02-25,"{'PerMillion': '271', 'PerUser': '6.30'}",269,{'PerMillion': '1600'}
58,2020-02-26,"{'PerMillion': '262', 'PerUser': '6.30'}",273,{'PerMillion': '1600'}
59,2020-02-27,"{'PerMillion': '333', 'PerUser': '8.10'}",259,{'PerMillion': '1600'}
60,2020-02-28,"{'PerMillion': '374', 'PerUser': '9.50'}",275,{'PerMillion': '1500'}
61,2020-02-29,"{'PerMillion': '358', 'PerUser': '9.20'}",296,{'PerMillion': '1300'}
62,2020-03-01,"{'PerMillion': '439', 'PerUser': '9.20'}",245,{'PerMillion': '1600'}
63,2020-03-02,"{'PerMillion': '309', 'PerUser': '7.30'}",255,{'PerMillion': '1700'}
64,2020-03-03,"{'PerMillion': '294', 'PerUser': '7.90'}",276,{'PerMillion': '1500'}
65,2020-03-04,"{'PerMillion': '367', 'PerUser': '9.70'}",255,{'PerMillion': '1500'}
66,2020-03-05,"{'PerMillion': '363', 'PerUser': '8.60'}",244,{'PerMillion': '1600'}
67,2020-03-06,"{'PerMillion': '390', 'PerUser': '9.60'}",251,{'PerMillion': '1500'}
68,2020-03-07,"{'PerMillion': '240', 'PerUser': '6.40'}",325,{'PerMillion': '1300'}
69,2020-03-08,"{'PerMillion': '327', 'PerUser': '7.30'}",271,{'PerMillion': '1500'}
70,2020-03-09,"{'PerMillion': '245', 'PerUser': '6.30'}",292,{'PerMillion': '1500'}
71,2020-03-10,"{'PerMillion': '99.8', 'PerUser': '7.20'}",840,{'PerMillion': '530'}
72,2020-03-11,"{'PerMillion': '252', 'PerUser': '6.00'}",272,{'PerMillion': '1600'}
73,2020-03-12,"{'PerMillion': '280', 'PerUser': '6.60'}",260,{'PerMillion': '1600'}
74,2020-03-13,"{'PerMillion': '261', 'PerUser': '7.30'}",311,{'PerMillion': '1400'}
75,2020-03-14,"{'PerMillion': '317', 'PerUser': '7.40'}",282,{'PerMillion': '1400'}
76,2020-03-15,"{'PerMillion': '278', 'PerUser': '6.70'}",298,{'PerMillion': '1400'}
77,2020-03-16,"{'PerMillion': '189', 'PerUser': '6.40'}",386,{'PerMillion': '1100'}
78,2020-03-17,"{'PerMillion': '190', 'PerUser': '6.90'}",402,{'PerMillion': '1100'}
79,2020-03-18,"{'PerMillion': '221', 'PerUser': '9.20'}",435,{'PerMillion': '930'}
80,2020-03-19,"{'PerMillion': '210', 'PerUser': '10.00'}",501,{'PerMillion': '790'}
81,2020-03-20,"{'PerMillion': '200', 'PerUser': '9.20'}",496,{'PerMillion': '830'}
82,2020-03-21,"{'PerMillion': '150', 'PerUser': '7.60'}",634,{'PerMillion': '680'}
83,2020-03-22,"{'PerMillion': '210', 'PerUser': '10.00'}",588,{'PerMillion': '690'}
84,2020-03-23,"{'PerMillion': '169', 'PerUser': '10.00'}",631,{'PerMillion': '660'}
85,2020-03-24,"{'PerMillion': '135', 'PerUser': '8.30'}",689,{'PerMillion': '640'}
86,2020-03-25,"{'PerMillion': '121', 'PerUser': '7.30'}",715,{'PerMillion': '650'}
87,2020-03-26,"{'PerMillion': '235', 'PerUser': '14.00'}",566,{'PerMillion': '650'}
88,2020-03-27,"{'PerMillion': '148', 'PerUser': '9.50'}",691,{'PerMillion': '600'}
89,2020-03-28,"{'PerMillion': '244', 'PerUser': '12.00'}",528,{'PerMillion': '730'}
90,2020-03-29,"{'PerMillion': '68', 'PerUser': '11.00'}",2135,{'PerMillion': '210'}
91,2020-03-30,"{'PerMillion': '135', 'PerUser': '8.30'}",642,{'PerMillion': '660'}
92,2020-03-31,"{'PerMillion': '135', 'PerUser': '7.50'}",578,{'PerMillion': '720'}
93,2020-04-01,"{'PerMillion': '30', 'PerUser': '7.20'}",3145,{'PerMillion': '160'}
94,2020-04-02,"{'PerMillion': '99.5', 'PerUser': '6.30'}",717,{'PerMillion': '620'}
95,2020-04-03,"{'PerMillion': '26', 'PerUser': '6.90'}",3692,{'PerMillion': '140'}
96,2020-04-04,"{'PerMillion': '43', 'PerUser': '8.20'}",2671,{'PerMillion': '180'}
97,2020-04-05,"{'PerMillion': '41', 'PerUser': '7.20'}",2546,{'PerMillion': '200'}
98,2020-04-06,"{'PerMillion': '34', 'PerUser': '7.20'}",2762,{'PerMillion': '180'}
99,2020-04-07,"{'PerMillion': '102', 'PerUser': '7.00'}",795,{'PerMillion': '560'}
100,2020-04-08,"{'PerMillion': '74', 'PerUser': '4.90'}",856,{'PerMillion': '580'}
101,2020-04-09,"{'PerMillion': '52', 'PerUser': '12.00'}",2742,{'PerMillion': '160'}
102,2020-04-10,"{'PerMillion': '126', 'PerUser': '7.90'}",709,{'PerMillion': '600'}
103,2020-04-11,"{'PerMillion': '120', 'PerUser': '6.50'}",677,{'PerMillion': '640'}
104,2020-04-12,"{'PerMillion': '89', 'PerUser': '5.50'}",848,{'PerMillion': '570'}
105,2020-04-13,"{'PerMillion': '121', 'PerUser': '7.80'}",707,{'PerMillion': '600'}
