,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '820', 'PerUser': '4.80'}",71,{'PerMillion': '6100'}
1,2019-12-31,"{'PerMillion': '798', 'PerUser': '4.60'}",79,{'PerMillion': '5600'}
2,2020-01-01,"{'PerMillion': '963', 'PerUser': '4.80'}",71,{'PerMillion': '6100'}
3,2020-01-02,"{'PerMillion': '965', 'PerUser': '5.30'}",67,{'PerMillion': '6600'}
4,2020-01-03,"{'PerMillion': '837', 'PerUser': '4.80'}",69,{'PerMillion': '6300'}
5,2020-01-04,"{'PerMillion': '927', 'PerUser': '4.80'}",71,{'PerMillion': '6300'}
6,2020-01-05,"{'PerMillion': '1120', 'PerUser': '5.30'}",63,{'PerMillion': '6700'}
7,2020-01-06,"{'PerMillion': '814', 'PerUser': '4.90'}",68,{'PerMillion': '6300'}
8,2020-01-07,"{'PerMillion': '940', 'PerUser': '5.30'}",65,{'PerMillion': '6500'}
9,2020-01-08,"{'PerMillion': '783', 'PerUser': '5.00'}",75,{'PerMillion': '5950'}
10,2020-01-09,"{'PerMillion': '826', 'PerUser': '5.10'}",69,{'PerMillion': '6100'}
11,2020-01-10,"{'PerMillion': '816', 'PerUser': '4.70'}",67,{'PerMillion': '6300'}
12,2020-01-11,"{'PerMillion': '859', 'PerUser': '4.80'}",74,{'PerMillion': '5700'}
13,2020-01-12,"{'PerMillion': '980', 'PerUser': '5.10'}",69,{'PerMillion': '6100'}
14,2020-01-13,"{'PerMillion': '768', 'PerUser': '4.70'}",69,{'PerMillion': '6100'}
15,2020-01-14,"{'PerMillion': '846', 'PerUser': '4.90'}",66,{'PerMillion': '6400'}
16,2020-01-15,"{'PerMillion': '820', 'PerUser': '5.00'}",71,{'PerMillion': '6000'}
17,2020-01-16,"{'PerMillion': '810', 'PerUser': '5.00'}",74,{'PerMillion': '5900'}
18,2020-01-17,"{'PerMillion': '837', 'PerUser': '5.00'}",70,{'PerMillion': '6000'}
19,2020-01-18,"{'PerMillion': '979', 'PerUser': '5.20'}",67,{'PerMillion': '6100'}
20,2020-01-19,"{'PerMillion': '1060', 'PerUser': '5.30'}",67,{'PerMillion': '6500'}
21,2020-01-20,"{'PerMillion': '808', 'PerUser': '4.80'}",69,{'PerMillion': '6300'}
22,2020-01-21,"{'PerMillion': '807', 'PerUser': '4.90'}",69,{'PerMillion': '6240'}
23,2020-01-22,"{'PerMillion': '757', 'PerUser': '4.90'}",75,{'PerMillion': '5750'}
24,2020-01-23,"{'PerMillion': '822', 'PerUser': '5.00'}",72,{'PerMillion': '6100'}
25,2020-01-24,"{'PerMillion': '817', 'PerUser': '4.70'}",70,{'PerMillion': '6100'}
26,2020-01-25,"{'PerMillion': '836', 'PerUser': '4.80'}",76,{'PerMillion': '5600'}
27,2020-01-26,"{'PerMillion': '884', 'PerUser': '4.90'}",73,{'PerMillion': '5700'}
28,2020-01-27,"{'PerMillion': '773', 'PerUser': '4.80'}",75,{'PerMillion': '6000'}
