,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '83', 'PerUser': '3.30'}",534,{'PerMillion': '910'}
1,2019-12-31,"{'PerMillion': '91', 'PerUser': '3.30'}",522,{'PerMillion': '910'}
2,2020-01-01,"{'PerMillion': '79', 'PerUser': '3.00'}",596,{'PerMillion': '820'}
3,2020-01-02,"{'PerMillion': '102', 'PerUser': '4.00'}",497,{'PerMillion': '940'}
4,2020-01-03,"{'PerMillion': '100', 'PerUser': '3.70'}",486,{'PerMillion': '980'}
5,2020-01-04,"{'PerMillion': '92', 'PerUser': '3.10'}",503,{'PerMillion': '970'}
6,2020-01-05,"{'PerMillion': '100', 'PerUser': '3.00'}",439,{'PerMillion': '1100'}
7,2020-01-06,"{'PerMillion': '89.9', 'PerUser': '3.60'}",505,{'PerMillion': '930'}
8,2020-01-07,"{'PerMillion': '100', 'PerUser': '3.60'}",450,{'PerMillion': '1000'}
9,2020-01-08,"{'PerMillion': '82.6', 'PerUser': '3.50'}",560,{'PerMillion': '900'}
10,2020-01-09,"{'PerMillion': '95.6', 'PerUser': '3.40'}",457,{'PerMillion': '1000'}
11,2020-01-10,"{'PerMillion': '94', 'PerUser': '3.60'}",516,{'PerMillion': '930'}
12,2020-01-11,"{'PerMillion': '90', 'PerUser': '3.60'}",597,{'PerMillion': '780'}
13,2020-01-12,"{'PerMillion': '100', 'PerUser': '3.30'}",475,{'PerMillion': '980'}
14,2020-01-13,"{'PerMillion': '90.8', 'PerUser': '3.80'}",530,{'PerMillion': '900'}
15,2020-01-14,"{'PerMillion': '91.4', 'PerUser': '3.40'}",476,{'PerMillion': '990'}
16,2020-01-15,"{'PerMillion': '78', 'PerUser': '3.00'}",522,{'PerMillion': '960'}
17,2020-01-16,"{'PerMillion': '92.5', 'PerUser': '3.40'}",469,{'PerMillion': '1000'}
18,2020-01-17,"{'PerMillion': '97.6', 'PerUser': '3.70'}",475,{'PerMillion': '950'}
19,2020-01-18,"{'PerMillion': '94', 'PerUser': '3.30'}",503,{'PerMillion': '930'}
20,2020-01-19,"{'PerMillion': '120', 'PerUser': '3.50'}",421,{'PerMillion': '1100'}
21,2020-01-20,"{'PerMillion': '111', 'PerUser': '3.60'}",407,{'PerMillion': '1100'}
22,2020-01-21,"{'PerMillion': '91.9', 'PerUser': '3.80'}",494,{'PerMillion': '920'}
23,2020-01-22,"{'PerMillion': '91', 'PerUser': '3.00'}",431,{'PerMillion': '1100'}
24,2020-01-23,"{'PerMillion': '95.4', 'PerUser': '3.40'}",452,{'PerMillion': '1000'}
25,2020-01-24,"{'PerMillion': '80', 'PerUser': '3.70'}",637,{'PerMillion': '770'}
26,2020-01-25,"{'PerMillion': '97', 'PerUser': '3.20'}",488,{'PerMillion': '970'}
27,2020-01-26,"{'PerMillion': '84', 'PerUser': '2.90'}",539,{'PerMillion': '920'}
28,2020-01-27,"{'PerMillion': '83.3', 'PerUser': '3.40'}",542,{'PerMillion': '920'}
29,2020-01-28,"{'PerMillion': '92', 'PerUser': '3.50'}",487,{'PerMillion': '980'}
30,2020-01-29,"{'PerMillion': '81', 'PerUser': '3.30'}",544,{'PerMillion': '910'}
31,2020-01-30,"{'PerMillion': '76', 'PerUser': '3.30'}",584,{'PerMillion': '860'}
32,2020-01-31,"{'PerMillion': '91.7', 'PerUser': '3.60'}",526,{'PerMillion': '930'}
33,2020-02-01,"{'PerMillion': '75', 'PerUser': '2.80'}",602,{'PerMillion': '850'}
34,2020-02-02,"{'PerMillion': '58', 'PerUser': '3.20'}",888,{'PerMillion': '590'}
35,2020-02-03,"{'PerMillion': '85.6', 'PerUser': '3.20'}",474,{'PerMillion': '1000'}
36,2020-02-04,"{'PerMillion': '87.9', 'PerUser': '3.40'}",483,{'PerMillion': '1000'}
37,2020-02-05,"{'PerMillion': '85.7', 'PerUser': '3.30'}",490,{'PerMillion': '970'}
38,2020-02-06,"{'PerMillion': '84.9', 'PerUser': '3.30'}",493,{'PerMillion': '960'}
39,2020-02-07,"{'PerMillion': '81', 'PerUser': '3.30'}",547,{'PerMillion': '890'}
40,2020-02-08,"{'PerMillion': '89', 'PerUser': '3.10'}",520,{'PerMillion': '940'}
41,2020-02-09,"{'PerMillion': '95', 'PerUser': '3.20'}",487,{'PerMillion': '970'}
42,2020-02-10,"{'PerMillion': '81.3', 'PerUser': '3.40'}",533,{'PerMillion': '920'}
43,2020-02-11,"{'PerMillion': '90', 'PerUser': '3.30'}",475,{'PerMillion': '1000'}
44,2020-02-12,"{'PerMillion': '96.7', 'PerUser': '3.30'}",433,{'PerMillion': '1100'}
45,2020-02-13,"{'PerMillion': '98', 'PerUser': '3.70'}",466,{'PerMillion': '990'}
46,2020-02-14,"{'PerMillion': '100', 'PerUser': '3.70'}",458,{'PerMillion': '990'}
47,2020-02-15,"{'PerMillion': '110', 'PerUser': '3.40'}",431,{'PerMillion': '1100'}
48,2020-02-16,"{'PerMillion': '100', 'PerUser': '3.40'}",464,{'PerMillion': '980'}
49,2020-02-17,"{'PerMillion': '104', 'PerUser': '3.50'}",417,{'PerMillion': '1100'}
50,2020-02-18,"{'PerMillion': '99.9', 'PerUser': '3.50'}",441,{'PerMillion': '1100'}
51,2020-02-19,"{'PerMillion': '109', 'PerUser': '3.50'}",397,{'PerMillion': '1200'}
52,2020-02-20,"{'PerMillion': '85.2', 'PerUser': '3.40'}",518,{'PerMillion': '940'}
53,2020-02-21,"{'PerMillion': '87.8', 'PerUser': '3.30'}",496,{'PerMillion': '980'}
54,2020-02-22,"{'PerMillion': '77', 'PerUser': '3.10'}",607,{'PerMillion': '810'}
55,2020-02-23,"{'PerMillion': '110', 'PerUser': '3.70'}",459,{'PerMillion': '980'}
56,2020-02-24,"{'PerMillion': '100', 'PerUser': '3.60'}",464,{'PerMillion': '1100'}
57,2020-02-25,"{'PerMillion': '80.9', 'PerUser': '3.20'}",530,{'PerMillion': '950'}
58,2020-02-26,"{'PerMillion': '74', 'PerUser': '3.10'}",563,{'PerMillion': '910'}
59,2020-02-27,"{'PerMillion': '77.1', 'PerUser': '3.20'}",541,{'PerMillion': '930'}
60,2020-02-28,"{'PerMillion': '71', 'PerUser': '3.00'}",595,{'PerMillion': '880'}
61,2020-02-29,"{'PerMillion': '85', 'PerUser': '3.30'}",565,{'PerMillion': '870'}
62,2020-03-01,"{'PerMillion': '87', 'PerUser': '3.30'}",552,{'PerMillion': '880'}
63,2020-03-02,"{'PerMillion': '92', 'PerUser': '3.30'}",469,{'PerMillion': '1100'}
64,2020-03-03,"{'PerMillion': '72.5', 'PerUser': '3.50'}",643,{'PerMillion': '800'}
65,2020-03-04,"{'PerMillion': '76', 'PerUser': '3.30'}",574,{'PerMillion': '880'}
66,2020-03-05,"{'PerMillion': '84', 'PerUser': '3.40'}",508,{'PerMillion': '970'}
67,2020-03-06,"{'PerMillion': '73', 'PerUser': '3.10'}",567,{'PerMillion': '900'}
68,2020-03-07,"{'PerMillion': '82', 'PerUser': '3.30'}",598,{'PerMillion': '840'}
69,2020-03-08,"{'PerMillion': '85', 'PerUser': '3.30'}",565,{'PerMillion': '860'}
70,2020-03-09,"{'PerMillion': '91.6', 'PerUser': '3.50'}",507,{'PerMillion': '1000'}
71,2020-03-10,"{'PerMillion': '96.1', 'PerUser': '3.40'}",478,{'PerMillion': '1100'}
72,2020-03-11,"{'PerMillion': '105', 'PerUser': '3.70'}",452,{'PerMillion': '1100'}
73,2020-03-12,"{'PerMillion': '117', 'PerUser': '3.70'}",403,{'PerMillion': '1200'}
74,2020-03-13,"{'PerMillion': '88.8', 'PerUser': '3.50'}",540,{'PerMillion': '980'}
75,2020-03-14,"{'PerMillion': '94', 'PerUser': '3.80'}",577,{'PerMillion': '850'}
76,2020-03-15,"{'PerMillion': '59', 'PerUser': '3.30'}",929,{'PerMillion': '610'}
77,2020-03-16,"{'PerMillion': '64', 'PerUser': '3.70'}",808,{'PerMillion': '660'}
78,2020-03-17,"{'PerMillion': '51', 'PerUser': '3.30'}",954,{'PerMillion': '600'}
79,2020-03-18,"{'PerMillion': '51', 'PerUser': '3.90'}",1073,{'PerMillion': '510'}
80,2020-03-19,"{'PerMillion': '37', 'PerUser': '3.60'}",1436,{'PerMillion': '400'}
81,2020-03-20,"{'PerMillion': '41', 'PerUser': '3.30'}",1250,{'PerMillion': '460'}
82,2020-03-21,"{'PerMillion': '38', 'PerUser': '2.60'}",1255,{'PerMillion': '500'}
83,2020-03-22,"{'PerMillion': '29', 'PerUser': '2.70'}",1763,{'PerMillion': '380'}
84,2020-03-23,"{'PerMillion': '32', 'PerUser': '3.20'}",1578,{'PerMillion': '400'}
85,2020-03-24,"{'PerMillion': '21', 'PerUser': '2.90'}",2309,{'PerMillion': '280'}
86,2020-03-25,"{'PerMillion': '31', 'PerUser': '2.90'}",1484,{'PerMillion': '430'}
87,2020-03-26,"{'PerMillion': '25', 'PerUser': '2.90'}",1812,{'PerMillion': '340'}
