,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '87', 'PerUser': '3.50'}",531,{'PerMillion': '890'}
1,2019-12-31,"{'PerMillion': '77', 'PerUser': '3.10'}",601,{'PerMillion': '810'}
2,2020-01-01,"{'PerMillion': '89', 'PerUser': '3.80'}",635,{'PerMillion': '730'}
3,2020-01-02,"{'PerMillion': '95', 'PerUser': '3.80'}",522,{'PerMillion': '910'}
4,2020-01-03,"{'PerMillion': '110', 'PerUser': '4.30'}",485,{'PerMillion': '940'}
5,2020-01-04,"{'PerMillion': '85', 'PerUser': '3.40'}",592,{'PerMillion': '810'}
6,2020-01-05,"{'PerMillion': '89', 'PerUser': '3.80'}",639,{'PerMillion': '740'}
7,2020-01-06,"{'PerMillion': '80', 'PerUser': '3.70'}",580,{'PerMillion': '820'}
8,2020-01-07,"{'PerMillion': '81', 'PerUser': '3.70'}",588,{'PerMillion': '820'}
9,2020-01-08,"{'PerMillion': '83', 'PerUser': '3.70'}",576,{'PerMillion': '860'}
10,2020-01-09,"{'PerMillion': '73', 'PerUser': '3.30'}",601,{'PerMillion': '820'}
11,2020-01-10,"{'PerMillion': '82', 'PerUser': '3.10'}",535,{'PerMillion': '940'}
12,2020-01-11,"{'PerMillion': '69', 'PerUser': '3.50'}",754,{'PerMillion': '630'}
13,2020-01-12,"{'PerMillion': '89', 'PerUser': '3.60'}",597,{'PerMillion': '790'}
14,2020-01-13,"{'PerMillion': '82', 'PerUser': '3.80'}",579,{'PerMillion': '820'}
15,2020-01-14,"{'PerMillion': '80', 'PerUser': '3.90'}",605,{'PerMillion': '770'}
16,2020-01-15,"{'PerMillion': '72', 'PerUser': '3.60'}",673,{'PerMillion': '740'}
17,2020-01-16,"{'PerMillion': '95', 'PerUser': '4.20'}",560,{'PerMillion': '820'}
18,2020-01-17,"{'PerMillion': '69', 'PerUser': '3.20'}",616,{'PerMillion': '780'}
19,2020-01-18,"{'PerMillion': '65', 'PerUser': '2.90'}",694,{'PerMillion': '740'}
20,2020-01-19,"{'PerMillion': '91', 'PerUser': '3.70'}",585,{'PerMillion': '800'}
21,2020-01-20,"{'PerMillion': '88', 'PerUser': '3.40'}",512,{'PerMillion': '960'}
22,2020-01-21,"{'PerMillion': '84', 'PerUser': '3.70'}",526,{'PerMillion': '880'}
23,2020-01-22,"{'PerMillion': '88', 'PerUser': '3.30'}",468,{'PerMillion': '1000'}
24,2020-01-23,"{'PerMillion': '86', 'PerUser': '4.20'}",626,{'PerMillion': '740'}
25,2020-01-24,"{'PerMillion': '87', 'PerUser': '3.70'}",580,{'PerMillion': '830'}
26,2020-01-25,"{'PerMillion': '83', 'PerUser': '3.70'}",682,{'PerMillion': '720'}
27,2020-01-26,"{'PerMillion': '80', 'PerUser': '3.40'}",648,{'PerMillion': '750'}
28,2020-01-27,"{'PerMillion': '66', 'PerUser': '3.40'}",715,{'PerMillion': '710'}
29,2020-01-28,"{'PerMillion': '95', 'PerUser': '3.90'}",519,{'PerMillion': '900'}
30,2020-01-29,"{'PerMillion': '76', 'PerUser': '3.60'}",622,{'PerMillion': '790'}
31,2020-01-30,"{'PerMillion': '91', 'PerUser': '3.90'}",561,{'PerMillion': '850'}
32,2020-01-31,"{'PerMillion': '92', 'PerUser': '4.60'}",635,{'PerMillion': '730'}
