,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '25', 'PerUser': '2.50'}",1639,{'PerMillion': '360'}
1,2019-12-31,"{'PerMillion': '30', 'PerUser': '2.60'}",1513,{'PerMillion': '370'}
2,2020-01-01,"{'PerMillion': '17', 'PerUser': '2.00'}",2422,{'PerMillion': '270'}
3,2020-01-02,"{'PerMillion': '22', 'PerUser': '2.60'}",2051,{'PerMillion': '300'}
4,2020-01-03,"{'PerMillion': '28', 'PerUser': '2.70'}",1576,{'PerMillion': '380'}
5,2020-01-04,"{'PerMillion': '21', 'PerUser': '2.80'}",2535,{'PerMillion': '240'}
6,2020-01-05,"{'PerMillion': '19', 'PerUser': '3.40'}",3197,{'PerMillion': '180'}
7,2020-01-06,"{'PerMillion': '25', 'PerUser': '2.50'}",1608,{'PerMillion': '380'}
8,2020-01-07,"{'PerMillion': '33', 'PerUser': '2.90'}",1331,{'PerMillion': '430'}
9,2020-01-08,"{'PerMillion': '24', 'PerUser': '3.00'}",1910,{'PerMillion': '300'}
10,2020-01-09,"{'PerMillion': '18', 'PerUser': '2.40'}",2153,{'PerMillion': '280'}
11,2020-01-10,"{'PerMillion': '32', 'PerUser': '3.10'}",1505,{'PerMillion': '370'}
12,2020-01-11,"{'PerMillion': '20', 'PerUser': '2.70'}",2519,{'PerMillion': '240'}
13,2020-01-12,"{'PerMillion': '26', 'PerUser': '2.10'}",1669,{'PerMillion': '380'}
14,2020-01-13,"{'PerMillion': '26', 'PerUser': '3.00'}",1729,{'PerMillion': '330'}
15,2020-01-14,"{'PerMillion': '18', 'PerUser': '3.20'}",2756,{'PerMillion': '210'}
16,2020-01-15,"{'PerMillion': '21', 'PerUser': '2.70'}",2091,{'PerMillion': '290'}
17,2020-01-16,"{'PerMillion': '25', 'PerUser': '2.70'}",1719,{'PerMillion': '340'}
18,2020-01-17,"{'PerMillion': '26', 'PerUser': '2.80'}",1739,{'PerMillion': '340'}
19,2020-01-18,"{'PerMillion': '28', 'PerUser': '2.70'}",1691,{'PerMillion': '340'}
20,2020-01-19,"{'PerMillion': '29', 'PerUser': '2.80'}",1761,{'PerMillion': '330'}
21,2020-01-20,"{'PerMillion': '32', 'PerUser': '3.30'}",1543,{'PerMillion': '370'}
22,2020-01-21,"{'PerMillion': '23', 'PerUser': '2.20'}",1578,{'PerMillion': '390'}
23,2020-01-22,"{'PerMillion': '26', 'PerUser': '2.60'}",1595,{'PerMillion': '370'}
24,2020-01-23,"{'PerMillion': '26', 'PerUser': '2.80'}",1676,{'PerMillion': '340'}
25,2020-01-24,"{'PerMillion': '27', 'PerUser': '2.80'}",1624,{'PerMillion': '350'}
26,2020-01-25,"{'PerMillion': '30', 'PerUser': '2.50'}",1541,{'PerMillion': '380'}
27,2020-01-26,"{'PerMillion': '30', 'PerUser': '2.80'}",1701,{'PerMillion': '340'}
28,2020-01-27,"{'PerMillion': '22', 'PerUser': '2.70'}",2013,{'PerMillion': '300'}
29,2020-01-28,"{'PerMillion': '19', 'PerUser': '2.60'}",2237,{'PerMillion': '280'}
30,2020-01-29,"{'PerMillion': '19', 'PerUser': '2.10'}",1985,{'PerMillion': '320'}
31,2020-01-30,"{'PerMillion': '28', 'PerUser': '3.30'}",1775,{'PerMillion': '310'}
32,2020-01-31,"{'PerMillion': '22', 'PerUser': '2.50'}",1894,{'PerMillion': '320'}
33,2020-02-01,"{'PerMillion': '29', 'PerUser': '2.50'}",1555,{'PerMillion': '380'}
34,2020-02-02,"{'PerMillion': '31', 'PerUser': '2.40'}",1416,{'PerMillion': '420'}
35,2020-02-03,"{'PerMillion': '23', 'PerUser': '2.50'}",1779,{'PerMillion': '350'}
36,2020-02-04,"{'PerMillion': '23', 'PerUser': '2.90'}",1930,{'PerMillion': '310'}
37,2020-02-05,"{'PerMillion': '29', 'PerUser': '2.80'}",1527,{'PerMillion': '390'}
38,2020-02-06,"{'PerMillion': '17', 'PerUser': '2.20'}",2250,{'PerMillion': '290'}
39,2020-02-07,"{'PerMillion': '23', 'PerUser': '2.80'}",1950,{'PerMillion': '300'}
40,2020-02-08,"{'PerMillion': '24', 'PerUser': '2.90'}",2200,{'PerMillion': '270'}
41,2020-02-09,"{'PerMillion': '28', 'PerUser': '2.40'}",1583,{'PerMillion': '390'}
42,2020-02-10,"{'PerMillion': '29', 'PerUser': '3.00'}",1621,{'PerMillion': '360'}
43,2020-02-11,"{'PerMillion': '27', 'PerUser': '3.00'}",1686,{'PerMillion': '340'}
44,2020-02-12,"{'PerMillion': '20', 'PerUser': '2.20'}",1949,{'PerMillion': '330'}
45,2020-02-13,"{'PerMillion': '21', 'PerUser': '2.40'}",1807,{'PerMillion': '340'}
46,2020-02-14,"{'PerMillion': '33', 'PerUser': '3.30'}",1506,{'PerMillion': '370'}
47,2020-02-15,"{'PerMillion': '29', 'PerUser': '2.50'}",1551,{'PerMillion': '390'}
48,2020-02-16,"{'PerMillion': '29', 'PerUser': '2.40'}",1515,{'PerMillion': '400'}
49,2020-02-17,"{'PerMillion': '24', 'PerUser': '2.50'}",1675,{'PerMillion': '360'}
50,2020-02-18,"{'PerMillion': '24', 'PerUser': '2.90'}",1839,{'PerMillion': '320'}
51,2020-02-19,"{'PerMillion': '24', 'PerUser': '2.70'}",1744,{'PerMillion': '340'}
52,2020-02-20,"{'PerMillion': '21', 'PerUser': '3.40'}",2467,{'PerMillion': '230'}
53,2020-02-21,"{'PerMillion': '26', 'PerUser': '3.00'}",1779,{'PerMillion': '320'}
54,2020-02-22,"{'PerMillion': '39', 'PerUser': '2.60'}",1125,{'PerMillion': '510'}
55,2020-02-23,"{'PerMillion': '25', 'PerUser': '3.00'}",2202,{'PerMillion': '270'}
56,2020-02-24,"{'PerMillion': '27', 'PerUser': '3.20'}",1772,{'PerMillion': '330'}
57,2020-02-25,"{'PerMillion': '29', 'PerUser': '3.60'}",1812,{'PerMillion': '310'}
58,2020-02-26,"{'PerMillion': '19', 'PerUser': '2.50'}",2193,{'PerMillion': '290'}
59,2020-02-27,"{'PerMillion': '20', 'PerUser': '3.00'}",2381,{'PerMillion': '260'}
60,2020-02-28,"{'PerMillion': '15', 'PerUser': '3.40'}",3681,{'PerMillion': '170'}
61,2020-02-29,"{'PerMillion': '22', 'PerUser': '2.30'}",2006,{'PerMillion': '320'}
62,2020-03-01,"{'PerMillion': '28', 'PerUser': '2.70'}",1828,{'PerMillion': '340'}
63,2020-03-02,"{'PerMillion': '24', 'PerUser': '2.70'}",1789,{'PerMillion': '340'}
64,2020-03-03,"{'PerMillion': '25', 'PerUser': '3.00'}",1851,{'PerMillion': '320'}
65,2020-03-04,"{'PerMillion': '30', 'PerUser': '4.10'}",1959,{'PerMillion': '280'}
66,2020-03-05,"{'PerMillion': '22', 'PerUser': '3.50'}",2389,{'PerMillion': '240'}
67,2020-03-06,"{'PerMillion': '26', 'PerUser': '3.00'}",1793,{'PerMillion': '330'}
68,2020-03-07,"{'PerMillion': '34', 'PerUser': '4.70'}",2201,{'PerMillion': '240'}
69,2020-03-08,"{'PerMillion': '31', 'PerUser': '3.20'}",1802,{'PerMillion': '320'}
70,2020-03-09,"{'PerMillion': '22', 'PerUser': '2.80'}",2036,{'PerMillion': '310'}
71,2020-03-10,"{'PerMillion': '17', 'PerUser': '2.60'}",2545,{'PerMillion': '260'}
72,2020-03-11,"{'PerMillion': '28', 'PerUser': '3.10'}",1693,{'PerMillion': '360'}
73,2020-03-12,"{'PerMillion': '30', 'PerUser': '3.00'}",1530,{'PerMillion': '390'}
74,2020-03-13,"{'PerMillion': '31', 'PerUser': '2.70'}",1445,{'PerMillion': '430'}
75,2020-03-14,"{'PerMillion': '18', 'PerUser': '2.20'}",2442,{'PerMillion': '270'}
76,2020-03-15,"{'PerMillion': '16', 'PerUser': '2.50'}",3095,{'PerMillion': '220'}
77,2020-03-16,"{'PerMillion': '22', 'PerUser': '3.10'}",2322,{'PerMillion': '270'}
78,2020-03-17,"{'PerMillion': '12', 'PerUser': '2.80'}",4103,{'PerMillion': '160'}
79,2020-03-18,"{'PerMillion': '10', 'PerUser': '2.90'}",4749,{'PerMillion': '140'}
80,2020-03-19,"{'PerMillion': '14', 'PerUser': '2.90'}",3520,{'PerMillion': '190'}
81,2020-03-20,"{'PerMillion': '8.7', 'PerUser': '2.50'}",5294,{'PerMillion': '130'}
82,2020-03-21,"{'PerMillion': '7.9', 'PerUser': '2.50'}",6370,{'PerMillion': '110'}
83,2020-03-22,"{'PerMillion': '11', 'PerUser': '2.80'}",4982,{'PerMillion': '140'}
84,2020-03-23,"{'PerMillion': '6.7', 'PerUser': '2.30'}",6485,{'PerMillion': '110'}
85,2020-03-24,"{'PerMillion': '6', 'PerUser': '2.30'}",7193,{'PerMillion': '100'}
86,2020-03-25,"{'PerMillion': '11', 'PerUser': '2.60'}",4083,{'PerMillion': '170'}
87,2020-03-26,"{'PerMillion': '7.5', 'PerUser': '3.40'}",7574,{'PerMillion': '87'}
88,2020-03-27,"{'PerMillion': '10', 'PerUser': '2.10'}",3871,{'PerMillion': '190'}
89,2020-03-28,"{'PerMillion': '11', 'PerUser': '2.40'}",4189,{'PerMillion': '170'}
90,2020-03-29,"{'PerMillion': '8.3', 'PerUser': '2.50'}",5959,{'PerMillion': '120'}
91,2020-03-30,"{'PerMillion': '4.6', 'PerUser': '2.40'}",9838,{'PerMillion': '77'}
92,2020-03-31,"{'PerMillion': '12', 'PerUser': '2.50'}",3817,{'PerMillion': '180'}
93,2020-04-01,"{'PerMillion': '5.5', 'PerUser': '2.70'}",8773,{'PerMillion': '83'}
94,2020-04-02,"{'PerMillion': '7', 'PerUser': '2.20'}",5825,{'PerMillion': '130'}
95,2020-04-03,"{'PerMillion': '8', 'PerUser': '2.30'}",5423,{'PerMillion': '130'}
96,2020-04-04,"{'PerMillion': '12', 'PerUser': '2.70'}",4137,{'PerMillion': '160'}
97,2020-04-05,"{'PerMillion': '4.9', 'PerUser': '2.00'}",8866,{'PerMillion': '86'}
98,2020-04-06,"{'PerMillion': '13', 'PerUser': '4.10'}",4886,{'PerMillion': '120'}
99,2020-04-07,"{'PerMillion': '5.8', 'PerUser': '2.70'}",8580,{'PerMillion': '82'}
100,2020-04-08,"{'PerMillion': '5.9', 'PerUser': '3.00'}",8973,{'PerMillion': '76'}
101,2020-04-09,"{'PerMillion': '4.8', 'PerUser': '2.60'}",10166,{'PerMillion': '70'}
102,2020-04-10,"{'PerMillion': '6.3', 'PerUser': '2.80'}",8230,{'PerMillion': '83'}
103,2020-04-11,"{'PerMillion': '5.7', 'PerUser': '2.10'}",7734,{'PerMillion': '95'}
104,2020-04-12,"{'PerMillion': '7.9', 'PerUser': '1.90'}",5330,{'PerMillion': '140'}
105,2020-04-13,"{'PerMillion': '5.8', 'PerUser': '4.20'}",11932,{'PerMillion': '54'}
106,2020-04-14,"{'PerMillion': '6.3', 'PerUser': '2.20'}",6721,{'PerMillion': '110'}
107,2020-04-15,"{'PerMillion': '8.9', 'PerUser': '4.50'}",7899,{'PerMillion': '76'}
108,2020-04-16,"{'PerMillion': '8.7', 'PerUser': '4.10'}",7423,{'PerMillion': '81'}
109,2020-04-17,"{'PerMillion': '4.8', 'PerUser': '1.80'}",7429,{'PerMillion': '100'}
110,2020-04-18,"{'PerMillion': '5.4', 'PerUser': '2.40'}",8772,{'PerMillion': '79'}
111,2020-04-19,"{'PerMillion': '5.3', 'PerUser': '1.90'}",7836,{'PerMillion': '96'}
112,2020-04-20,"{'PerMillion': '5.1', 'PerUser': '2.80'}",9504,{'PerMillion': '73'}
113,2020-04-21,"{'PerMillion': '5.4', 'PerUser': '2.50'}",8381,{'PerMillion': '84'}
114,2020-04-22,"{'PerMillion': '7.9', 'PerUser': '3.00'}",6217,{'PerMillion': '100'}
115,2020-04-23,"{'PerMillion': '3.2', 'PerUser': '2.10'}",12686,{'PerMillion': '59'}
116,2020-04-24,"{'PerMillion': '3.8', 'PerUser': '2.80'}",13356,{'PerMillion': '51'}
117,2020-04-25,"{'PerMillion': '7.6', 'PerUser': '2.20'}",5875,{'PerMillion': '120'}
118,2020-04-26,"{'PerMillion': '11', 'PerUser': '2.70'}",4645,{'PerMillion': '140'}
119,2020-04-27,"{'PerMillion': '7.2', 'PerUser': '2.60'}",6155,{'PerMillion': '110'}
120,2020-04-28,"{'PerMillion': '7.2', 'PerUser': '3.20'}",7262,{'PerMillion': '89'}
121,2020-04-29,"{'PerMillion': '6.3', 'PerUser': '2.70'}",7514,{'PerMillion': '89'}
122,2020-04-30,"{'PerMillion': '9.3', 'PerUser': '2.70'}",5019,{'PerMillion': '130'}
123,2020-05-01,"{'PerMillion': '9.7', 'PerUser': '2.80'}",4951,{'PerMillion': '130'}
124,2020-05-02,"{'PerMillion': '9.7', 'PerUser': '3.10'}",5704,{'PerMillion': '110'}
125,2020-05-03,"{'PerMillion': '6.2', 'PerUser': '2.70'}",8268,{'PerMillion': '82'}
