,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '28', 'PerUser': '5.00'}",2606,{'PerMillion': '200'}
1,2019-12-31,"{'PerMillion': '10', 'PerUser': '3.60'}",6028,{'PerMillion': '95'}
2,2020-01-01,"{'PerMillion': '27', 'PerUser': '4.80'}",2990,{'PerMillion': '170'}
3,2020-01-02,"{'PerMillion': '32', 'PerUser': '4.10'}",1897,{'PerMillion': '280'}
4,2020-01-03,"{'PerMillion': '12', 'PerUser': '4.80'}",6323,{'PerMillion': '91'}
5,2020-01-04,"{'PerMillion': '29', 'PerUser': '4.80'}",2652,{'PerMillion': '200'}
6,2020-01-05,"{'PerMillion': '45', 'PerUser': '6.20'}",2087,{'PerMillion': '230'}
7,2020-01-06,"{'PerMillion': '32', 'PerUser': '5.10'}",2072,{'PerMillion': '240'}
8,2020-01-07,"{'PerMillion': '30', 'PerUser': '4.70'}",2183,{'PerMillion': '230'}
9,2020-01-08,"{'PerMillion': '46', 'PerUser': '6.00'}",1655,{'PerMillion': '290'}
10,2020-01-09,"{'PerMillion': '33', 'PerUser': '5.50'}",2150,{'PerMillion': '230'}
11,2020-01-10,"{'PerMillion': '37', 'PerUser': '5.50'}",2029,{'PerMillion': '240'}
12,2020-01-11,"{'PerMillion': '40', 'PerUser': '6.10'}",2249,{'PerMillion': '210'}
13,2020-01-12,"{'PerMillion': '22', 'PerUser': '3.40'}",2742,{'PerMillion': '210'}
14,2020-01-13,"{'PerMillion': '27', 'PerUser': '4.20'}",2147,{'PerMillion': '240'}
15,2020-01-14,"{'PerMillion': '34', 'PerUser': '4.60'}",1896,{'PerMillion': '270'}
16,2020-01-15,"{'PerMillion': '14', 'PerUser': '4.50'}",4951,{'PerMillion': '110'}
17,2020-01-16,"{'PerMillion': '26', 'PerUser': '4.10'}",2281,{'PerMillion': '230'}
18,2020-01-17,"{'PerMillion': '22', 'PerUser': '3.60'}",2514,{'PerMillion': '220'}
19,2020-01-18,"{'PerMillion': '30', 'PerUser': '4.50'}",2398,{'PerMillion': '220'}
20,2020-01-19,"{'PerMillion': '31', 'PerUser': '4.10'}",2255,{'PerMillion': '240'}
21,2020-01-20,"{'PerMillion': '11', 'PerUser': '4.50'}",6220,{'PerMillion': '92'}
22,2020-01-21,"{'PerMillion': '14', 'PerUser': '4.40'}",4747,{'PerMillion': '120'}
23,2020-01-22,"{'PerMillion': '29', 'PerUser': '4.10'}",2014,{'PerMillion': '270'}
24,2020-01-23,"{'PerMillion': '26', 'PerUser': '4.00'}",2167,{'PerMillion': '240'}
25,2020-01-24,"{'PerMillion': '32', 'PerUser': '4.50'}",1980,{'PerMillion': '250'}
26,2020-01-25,"{'PerMillion': '22', 'PerUser': '5.20'}",3746,{'PerMillion': '140'}
27,2020-01-26,"{'PerMillion': '45', 'PerUser': '6.60'}",2197,{'PerMillion': '220'}
28,2020-01-27,"{'PerMillion': '35', 'PerUser': '5.90'}",2243,{'PerMillion': '220'}
29,2020-01-28,"{'PerMillion': '33', 'PerUser': '4.70'}",2003,{'PerMillion': '260'}
30,2020-01-29,"{'PerMillion': '21', 'PerUser': '4.00'}",2782,{'PerMillion': '200'}
31,2020-01-30,"{'PerMillion': '14', 'PerUser': '3.40'}",3792,{'PerMillion': '150'}
32,2020-01-31,"{'PerMillion': '26', 'PerUser': '4.60'}",2577,{'PerMillion': '200'}
33,2020-02-01,"{'PerMillion': '30', 'PerUser': '4.10'}",2263,{'PerMillion': '230'}
34,2020-02-02,"{'PerMillion': '38', 'PerUser': '5.40'}",2231,{'PerMillion': '220'}
35,2020-02-03,"{'PerMillion': '23', 'PerUser': '4.50'}",2755,{'PerMillion': '200'}
36,2020-02-04,"{'PerMillion': '24', 'PerUser': '4.40'}",2497,{'PerMillion': '220'}
37,2020-02-05,"{'PerMillion': '24', 'PerUser': '3.50'}",2243,{'PerMillion': '250'}
38,2020-02-06,"{'PerMillion': '8.2', 'PerUser': '4.30'}",8299,{'PerMillion': '70'}
39,2020-02-07,"{'PerMillion': '20', 'PerUser': '3.90'}",2953,{'PerMillion': '190'}
40,2020-02-08,"{'PerMillion': '31', 'PerUser': '5.00'}",2557,{'PerMillion': '200'}
41,2020-02-09,"{'PerMillion': '35', 'PerUser': '4.70'}",2161,{'PerMillion': '240'}
42,2020-02-10,"{'PerMillion': '27', 'PerUser': '3.80'}",2048,{'PerMillion': '270'}
43,2020-02-11,"{'PerMillion': '47', 'PerUser': '6.20'}",1667,{'PerMillion': '280'}
44,2020-02-12,"{'PerMillion': '28', 'PerUser': '4.30'}",2174,{'PerMillion': '250'}
45,2020-02-13,"{'PerMillion': '23', 'PerUser': '3.90'}",2505,{'PerMillion': '220'}
46,2020-02-14,"{'PerMillion': '14', 'PerUser': '5.80'}",5880,{'PerMillion': '90'}
47,2020-02-15,"{'PerMillion': '39', 'PerUser': '5.50'}",2112,{'PerMillion': '230'}
48,2020-02-16,"{'PerMillion': '33', 'PerUser': '5.00'}",2421,{'PerMillion': '210'}
49,2020-02-17,"{'PerMillion': '28', 'PerUser': '4.20'}",2122,{'PerMillion': '260'}
50,2020-02-18,"{'PerMillion': '27', 'PerUser': '4.40'}",2312,{'PerMillion': '230'}
51,2020-02-19,"{'PerMillion': '38', 'PerUser': '5.50'}",1884,{'PerMillion': '260'}
52,2020-02-20,"{'PerMillion': '29', 'PerUser': '4.50'}",2161,{'PerMillion': '240'}
53,2020-02-21,"{'PerMillion': '29', 'PerUser': '5.60'}",2604,{'PerMillion': '190'}
54,2020-02-22,"{'PerMillion': '28', 'PerUser': '4.90'}",2735,{'PerMillion': '190'}
55,2020-02-23,"{'PerMillion': '45', 'PerUser': '6.70'}",2201,{'PerMillion': '220'}
56,2020-02-24,"{'PerMillion': '28', 'PerUser': '5.30'}",2531,{'PerMillion': '210'}
57,2020-02-25,"{'PerMillion': '22', 'PerUser': '4.30'}",2853,{'PerMillion': '200'}
58,2020-02-26,"{'PerMillion': '24', 'PerUser': '4.30'}",2640,{'PerMillion': '210'}
59,2020-02-27,"{'PerMillion': '20', 'PerUser': '3.10'}",2497,{'PerMillion': '240'}
60,2020-02-28,"{'PerMillion': '15', 'PerUser': '3.00'}",3364,{'PerMillion': '200'}
