,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '31', 'PerUser': '4.20'}",2026,{'PerMillion': '260'}
1,2019-12-31,"{'PerMillion': '13', 'PerUser': '3.00'}",4045,{'PerMillion': '140'}
2,2020-01-01,"{'PerMillion': '20', 'PerUser': '2.80'}",2689,{'PerMillion': '220'}
3,2020-01-02,"{'PerMillion': '15', 'PerUser': '2.20'}",2788,{'PerMillion': '240'}
4,2020-01-03,"{'PerMillion': '20', 'PerUser': '3.50'}",2846,{'PerMillion': '210'}
5,2020-01-04,"{'PerMillion': '17', 'PerUser': '2.80'}",3211,{'PerMillion': '190'}
6,2020-01-05,"{'PerMillion': '20', 'PerUser': '2.90'}",2685,{'PerMillion': '220'}
7,2020-01-06,"{'PerMillion': '32', 'PerUser': '4.00'}",1748,{'PerMillion': '300'}
8,2020-01-07,"{'PerMillion': '36', 'PerUser': '4.70'}",1783,{'PerMillion': '290'}
9,2020-01-08,"{'PerMillion': '19', 'PerUser': '2.90'}",2428,{'PerMillion': '250'}
10,2020-01-09,"{'PerMillion': '21', 'PerUser': '3.30'}",2378,{'PerMillion': '240'}
11,2020-01-10,"{'PerMillion': '19', 'PerUser': '3.20'}",2689,{'PerMillion': '220'}
12,2020-01-11,"{'PerMillion': '14', 'PerUser': '2.50'}",3595,{'PerMillion': '180'}
13,2020-01-12,"{'PerMillion': '22', 'PerUser': '3.00'}",2578,{'PerMillion': '230'}
14,2020-01-13,"{'PerMillion': '20', 'PerUser': '3.30'}",2582,{'PerMillion': '220'}
15,2020-01-14,"{'PerMillion': '17', 'PerUser': '3.30'}",3132,{'PerMillion': '190'}
16,2020-01-15,"{'PerMillion': '22', 'PerUser': '3.30'}",2382,{'PerMillion': '240'}
17,2020-01-16,"{'PerMillion': '20', 'PerUser': '3.20'}",2461,{'PerMillion': '230'}
18,2020-01-17,"{'PerMillion': '23', 'PerUser': '2.70'}",1930,{'PerMillion': '310'}
19,2020-01-18,"{'PerMillion': '16', 'PerUser': '2.40'}",2979,{'PerMillion': '210'}
20,2020-01-19,"{'PerMillion': '41', 'PerUser': '6.00'}",2212,{'PerMillion': '220'}
21,2020-01-20,"{'PerMillion': '26', 'PerUser': '3.10'}",1877,{'PerMillion': '310'}
22,2020-01-21,"{'PerMillion': '13', 'PerUser': '3.30'}",3886,{'PerMillion': '150'}
23,2020-01-22,"{'PerMillion': '18', 'PerUser': '2.50'}",2358,{'PerMillion': '260'}
24,2020-01-23,"{'PerMillion': '17', 'PerUser': '2.80'}",2728,{'PerMillion': '220'}
25,2020-01-24,"{'PerMillion': '11', 'PerUser': '3.00'}",4642,{'PerMillion': '130'}
26,2020-01-25,"{'PerMillion': '18', 'PerUser': '4.30'}",4179,{'PerMillion': '130'}
27,2020-01-26,"{'PerMillion': '8.8', 'PerUser': '2.30'}",5483,{'PerMillion': '120'}
28,2020-01-27,"{'PerMillion': '18', 'PerUser': '3.00'}",2634,{'PerMillion': '230'}
29,2020-01-28,"{'PerMillion': '20', 'PerUser': '3.70'}",2857,{'PerMillion': '200'}
30,2020-01-29,"{'PerMillion': '45', 'PerUser': '5.70'}",1625,{'PerMillion': '290'}
31,2020-01-30,"{'PerMillion': '19', 'PerUser': '4.20'}",3189,{'PerMillion': '170'}
32,2020-01-31,"{'PerMillion': '25', 'PerUser': '4.20'}",2493,{'PerMillion': '220'}
33,2020-02-01,"{'PerMillion': '24', 'PerUser': '3.60'}",2612,{'PerMillion': '210'}
34,2020-02-02,"{'PerMillion': '12', 'PerUser': '2.60'}",4536,{'PerMillion': '140'}
35,2020-02-03,"{'PerMillion': '23', 'PerUser': '3.00'}",2067,{'PerMillion': '290'}
36,2020-02-04,"{'PerMillion': '17', 'PerUser': '3.60'}",3162,{'PerMillion': '190'}
37,2020-02-05,"{'PerMillion': '24', 'PerUser': '5.40'}",3014,{'PerMillion': '170'}
38,2020-02-06,"{'PerMillion': '17', 'PerUser': '3.00'}",2924,{'PerMillion': '210'}
39,2020-02-07,"{'PerMillion': '24', 'PerUser': '4.40'}",2680,{'PerMillion': '200'}
40,2020-02-08,"{'PerMillion': '22', 'PerUser': '4.50'}",3326,{'PerMillion': '160'}
