,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '162', 'PerUser': '3.00'}",264,{'PerMillion': '2000'}
1,2019-12-31,"{'PerMillion': '173', 'PerUser': '3.20'}",262,{'PerMillion': '1800'}
2,2020-01-01,"{'PerMillion': '160', 'PerUser': '2.60'}",264,{'PerMillion': '1900'}
3,2020-01-02,"{'PerMillion': '169', 'PerUser': '3.40'}",267,{'PerMillion': '1800'}
4,2020-01-03,"{'PerMillion': '190', 'PerUser': '3.40'}",248,{'PerMillion': '2000'}
5,2020-01-04,"{'PerMillion': '199', 'PerUser': '3.60'}",262,{'PerMillion': '1800'}
6,2020-01-05,"{'PerMillion': '205', 'PerUser': '3.50'}",260,{'PerMillion': '1800'}
7,2020-01-06,"{'PerMillion': '168', 'PerUser': '3.60'}",274,{'PerMillion': '1700'}
8,2020-01-07,"{'PerMillion': '184', 'PerUser': '3.70'}",260,{'PerMillion': '1900'}
9,2020-01-08,"{'PerMillion': '136', 'PerUser': '3.00'}",293,{'PerMillion': '1700'}
10,2020-01-09,"{'PerMillion': '145', 'PerUser': '3.10'}",282,{'PerMillion': '1700'}
11,2020-01-10,"{'PerMillion': '135', 'PerUser': '2.80'}",291,{'PerMillion': '1700'}
12,2020-01-11,"{'PerMillion': '186', 'PerUser': '3.50'}",269,{'PerMillion': '1700'}
13,2020-01-12,"{'PerMillion': '171', 'PerUser': '3.00'}",261,{'PerMillion': '1800'}
14,2020-01-13,"{'PerMillion': '139', 'PerUser': '2.90'}",274,{'PerMillion': '1800'}
15,2020-01-14,"{'PerMillion': '200', 'PerUser': '3.90'}",251,{'PerMillion': '1900'}
16,2020-01-15,"{'PerMillion': '178', 'PerUser': '3.80'}",269,{'PerMillion': '1700'}
17,2020-01-16,"{'PerMillion': '152', 'PerUser': '3.30'}",279,{'PerMillion': '1700'}
18,2020-01-17,"{'PerMillion': '175', 'PerUser': '3.50'}",265,{'PerMillion': '1800'}
19,2020-01-18,"{'PerMillion': '164', 'PerUser': '3.20'}",272,{'PerMillion': '1700'}
