,Date,PageViews,Rank,Reach
0,2019-12-30,"{'PerMillion': '9', 'PerUser': '2.50'}",5287,{'PerMillion': '130'}
1,2019-12-31,"{'PerMillion': '8.4', 'PerUser': '1.60'}",4193,{'PerMillion': '170'}
2,2020-01-01,"{'PerMillion': '7.1', 'PerUser': '1.00'}",5302,{'PerMillion': '150'}
3,2020-01-02,"{'PerMillion': '6.8', 'PerUser': '1.70'}",5260,{'PerMillion': '150'}
4,2020-01-03,"{'PerMillion': '6.8', 'PerUser': '2.30'}",6640,{'PerMillion': '110'}
5,2020-01-04,"{'PerMillion': '5.3', 'PerUser': '1.40'}",6777,{'PerMillion': '120'}
6,2020-01-05,"{'PerMillion': '7.3', 'PerUser': '2.00'}",6120,{'PerMillion': '120'}
7,2020-01-06,"{'PerMillion': '4.8', 'PerUser': '1.40'}",6323,{'PerMillion': '130'}
8,2020-01-07,"{'PerMillion': '8.7', 'PerUser': '2.10'}",4525,{'PerMillion': '150'}
9,2020-01-08,"{'PerMillion': '10', 'PerUser': '2.50'}",4358,{'PerMillion': '150'}
10,2020-01-09,"{'PerMillion': '11', 'PerUser': '2.20'}",3740,{'PerMillion': '180'}
11,2020-01-10,"{'PerMillion': '13', 'PerUser': '3.40'}",4522,{'PerMillion': '130'}
12,2020-01-11,"{'PerMillion': '7.7', 'PerUser': '1.90'}",5549,{'PerMillion': '130'}
13,2020-01-12,"{'PerMillion': '7.1', 'PerUser': '1.60'}",5509,{'PerMillion': '140'}
14,2020-01-13,"{'PerMillion': '14', 'PerUser': '2.50'}",3007,{'PerMillion': '210'}
15,2020-01-14,"{'PerMillion': '5', 'PerUser': '1.50'}",6456,{'PerMillion': '130'}
16,2020-01-15,"{'PerMillion': '5.7', 'PerUser': '1.70'}",6092,{'PerMillion': '120'}
17,2020-01-16,"{'PerMillion': '5.8', 'PerUser': '1.60'}",5644,{'PerMillion': '130'}
18,2020-01-17,"{'PerMillion': '5.6', 'PerUser': '1.60'}",6106,{'PerMillion': '130'}
19,2020-01-18,"{'PerMillion': '6.5', 'PerUser': '1.50'}",5590,{'PerMillion': '140'}
20,2020-01-19,"{'PerMillion': '5.9', 'PerUser': '1.40'}",6136,{'PerMillion': '130'}
21,2020-01-20,"{'PerMillion': '10', 'PerUser': '3.30'}",5403,{'PerMillion': '110'}
22,2020-01-21,"{'PerMillion': '7.1', 'PerUser': '2.00'}",5353,{'PerMillion': '140'}
23,2020-01-22,"{'PerMillion': '15', 'PerUser': '3.50'}",3539,{'PerMillion': '170'}
24,2020-01-23,"{'PerMillion': '11', 'PerUser': '3.30'}",4910,{'PerMillion': '120'}
25,2020-01-24,"{'PerMillion': '10', 'PerUser': '2.40'}",4251,{'PerMillion': '150'}
26,2020-01-25,"{'PerMillion': '5.6', 'PerUser': '1.70'}",7061,{'PerMillion': '110'}
27,2020-01-26,"{'PerMillion': '6.1', 'PerUser': '1.70'}",6760,{'PerMillion': '110'}
28,2020-01-27,"{'PerMillion': '9.3', 'PerUser': '2.60'}",4994,{'PerMillion': '130'}
29,2020-01-28,"{'PerMillion': '13', 'PerUser': '4.20'}",4939,{'PerMillion': '120'}
30,2020-01-29,"{'PerMillion': '17', 'PerUser': '3.70'}",3338,{'PerMillion': '170'}
31,2020-01-30,"{'PerMillion': '6', 'PerUser': '1.60'}",5619,{'PerMillion': '140'}
32,2020-01-31,"{'PerMillion': '6.3', 'PerUser': '1.60'}",5387,{'PerMillion': '140'}
33,2020-02-01,"{'PerMillion': '9.5', 'PerUser': '1.70'}",4117,{'PerMillion': '180'}
34,2020-02-02,"{'PerMillion': '5.5', 'PerUser': '1.30'}",6392,{'PerMillion': '130'}
35,2020-02-03,"{'PerMillion': '8.5', 'PerUser': '2.00'}",4509,{'PerMillion': '200'}
36,2020-02-04,"{'PerMillion': '15', 'PerUser': '2.70'}",2943,{'PerMillion': '220'}
37,2020-02-05,"{'PerMillion': '12', 'PerUser': '2.80'}",3812,{'PerMillion': '170'}
38,2020-02-06,"{'PerMillion': '9.9', 'PerUser': '2.30'}",4131,{'PerMillion': '160'}
39,2020-02-07,"{'PerMillion': '4.6', 'PerUser': '1.50'}",7338,{'PerMillion': '110'}
40,2020-02-08,"{'PerMillion': '5.4', 'PerUser': '1.50'}",6833,{'PerMillion': '120'}
41,2020-02-09,"{'PerMillion': '4.8', 'PerUser': '1.60'}",7999,{'PerMillion': '100'}
42,2020-02-10,"{'PerMillion': '5.3', 'PerUser': '1.40'}",5699,{'PerMillion': '140'}
43,2020-02-11,"{'PerMillion': '6.5', 'PerUser': '1.80'}",5527,{'PerMillion': '130'}
44,2020-02-12,"{'PerMillion': '9.5', 'PerUser': '2.30'}",4408,{'PerMillion': '150'}
45,2020-02-13,"{'PerMillion': '5', 'PerUser': '1.70'}",7052,{'PerMillion': '110'}
46,2020-02-14,"{'PerMillion': '5.7', 'PerUser': '2.20'}",7541,{'PerMillion': '93'}
47,2020-02-15,"{'PerMillion': '5.7', 'PerUser': '1.70'}",6889,{'PerMillion': '110'}
48,2020-02-16,"{'PerMillion': '3.5', 'PerUser': '1.60'}",11361,{'PerMillion': '72'}
49,2020-02-17,"{'PerMillion': '6.4', 'PerUser': '1.50'}",4933,{'PerMillion': '160'}
50,2020-02-18,"{'PerMillion': '6.7', 'PerUser': '1.80'}",5164,{'PerMillion': '150'}
51,2020-02-19,"{'PerMillion': '16', 'PerUser': '3.40'}",3206,{'PerMillion': '180'}
52,2020-02-20,"{'PerMillion': '5.4', 'PerUser': '1.70'}",6395,{'PerMillion': '120'}
53,2020-02-21,"{'PerMillion': '4.2', 'PerUser': '1.20'}",6741,{'PerMillion': '130'}
54,2020-02-22,"{'PerMillion': '3.6', 'PerUser': '1.50'}",10307,{'PerMillion': '81'}
55,2020-02-23,"{'PerMillion': '4.8', 'PerUser': '1.40'}",7199,{'PerMillion': '120'}
56,2020-02-24,"{'PerMillion': '10', 'PerUser': '3.60'}",5714,{'PerMillion': '110'}
57,2020-02-25,"{'PerMillion': '5.3', 'PerUser': '1.50'}",6175,{'PerMillion': '130'}
58,2020-02-26,"{'PerMillion': '6.8', 'PerUser': '2.50'}",6642,{'PerMillion': '100'}
59,2020-02-27,"{'PerMillion': '5.5', 'PerUser': '1.90'}",6727,{'PerMillion': '110'}
60,2020-02-28,"{'PerMillion': '4.5', 'PerUser': '2.40'}",10198,{'PerMillion': '72'}
61,2020-02-29,"{'PerMillion': '3.9', 'PerUser': '1.30'}",8583,{'PerMillion': '100'}
62,2020-03-01,"{'PerMillion': '5.9', 'PerUser': '1.30'}",5556,{'PerMillion': '160'}
63,2020-03-02,"{'PerMillion': '3.8', 'PerUser': '1.50'}",8341,{'PerMillion': '100'}
64,2020-03-03,"{'PerMillion': '4.4', 'PerUser': '1.80'}",8067,{'PerMillion': '98'}
65,2020-03-04,"{'PerMillion': '6.6', 'PerUser': '1.70'}",5087,{'PerMillion': '150'}
66,2020-03-05,"{'PerMillion': '9.9', 'PerUser': '2.40'}",4227,{'PerMillion': '160'}
67,2020-03-06,"{'PerMillion': '6.8', 'PerUser': '2.30'}",6233,{'PerMillion': '110'}
68,2020-03-07,"{'PerMillion': '6.1', 'PerUser': '2.00'}",6389,{'PerMillion': '120'}
69,2020-03-08,"{'PerMillion': '5.6', 'PerUser': '1.50'}",6411,{'PerMillion': '120'}
70,2020-03-09,"{'PerMillion': '12', 'PerUser': '6.00'}",6730,{'PerMillion': '82'}
71,2020-03-10,"{'PerMillion': '5', 'PerUser': '2.00'}",7881,{'PerMillion': '96'}
72,2020-03-11,"{'PerMillion': '6.6', 'PerUser': '2.50'}",6748,{'PerMillion': '100'}
73,2020-03-12,"{'PerMillion': '2.8', 'PerUser': '1.60'}",13201,{'PerMillion': '66'}
74,2020-03-13,"{'PerMillion': '3.8', 'PerUser': '2.00'}",10424,{'PerMillion': '78'}
75,2020-03-14,"{'PerMillion': '6.2', 'PerUser': '3.00'}",9022,{'PerMillion': '74'}
76,2020-03-15,"{'PerMillion': '6.4', 'PerUser': '3.00'}",8156,{'PerMillion': '85'}
77,2020-03-16,"{'PerMillion': '2.3', 'PerUser': '2.00'}",17532,{'PerMillion': '50'}
78,2020-03-17,"{'PerMillion': '4', 'PerUser': '1.60'}",8657,{'PerMillion': '96'}
79,2020-03-18,"{'PerMillion': '1.9', 'PerUser': '1.10'}",15304,{'PerMillion': '66'}
80,2020-03-19,"{'PerMillion': '1.2', 'PerUser': '1.30'}",27864,{'PerMillion': '37'}
81,2020-03-20,"{'PerMillion': '3', 'PerUser': '1.00'}",10869,{'PerMillion': '90'}
82,2020-03-21,"{'PerMillion': '1.7', 'PerUser': '1.00'}",18009,{'PerMillion': '60'}
83,2020-03-22,"{'PerMillion': '2', 'PerUser': '1.00'}",16683,{'PerMillion': '57'}
84,2020-03-23,"{'PerMillion': '1.4', 'PerUser': '1.00'}",24660,{'PerMillion': '38'}
85,2020-03-24,"{'PerMillion': '3.2', 'PerUser': '2.00'}",11877,{'PerMillion': '70'}
86,2020-03-25,"{'PerMillion': '1.1', 'PerUser': '2.00'}",37341,{'PerMillion': '26'}
87,2020-03-26,"{'PerMillion': '1.7', 'PerUser': '2.00'}",22095,{'PerMillion': '41'}
88,2020-03-27,"{'PerMillion': '1.2', 'PerUser': '2.00'}",46074,{'PerMillion': '20'}
89,2020-03-28,"{'PerMillion': '0.79', 'PerUser': '1.00'}",44524,{'PerMillion': '20'}
90,2020-03-29,"{'PerMillion': '1', 'PerUser': '2.00'}",40158,{'PerMillion': '20'}
91,2020-03-30,"{'PerMillion': '1.6', 'PerUser': '2.00'}",26410,{'PerMillion': '30'}
92,2020-03-31,"{'PerMillion': '1.4', 'PerUser': '3.00'}",39803,{'PerMillion': '21'}
93,2020-04-01,"{'PerMillion': '0.76', 'PerUser': '1.00'}",44492,{'PerMillion': '20'}
94,2020-04-02,"{'PerMillion': '0.81', 'PerUser': '2.00'}",47694,{'PerMillion': '21'}
95,2020-04-03,"{'PerMillion': '0.3', 'PerUser': '1.00'}",118475,{'PerMillion': '8'}
96,2020-04-04,"{'PerMillion': '0.78', 'PerUser': '1.00'}",48828,{'PerMillion': '20'}
97,2020-04-05,"{'PerMillion': '0.4', 'PerUser': '1.00'}",82751,{'PerMillion': '10'}
98,2020-04-06,"{'PerMillion': '1.1', 'PerUser': '2.00'}",35234,{'PerMillion': '30'}
99,2020-04-07,"{'PerMillion': '0.97', 'PerUser': '1.00'}",32419,{'PerMillion': '35'}
100,2020-04-08,"{'PerMillion': '1.5', 'PerUser': '1.70'}",25773,{'PerMillion': '34'}
101,2020-04-09,"{'PerMillion': '1.3', 'PerUser': '2.00'}",33057,{'PerMillion': '30'}
102,2020-04-10,"{'PerMillion': '1', 'PerUser': '2.00'}",43435,{'PerMillion': '21'}
103,2020-04-11,"{'PerMillion': '0.7', 'PerUser': '1.00'}",46315,{'PerMillion': '20'}
104,2020-04-12,"{'PerMillion': '1', 'PerUser': '2.00'}",30174,{'PerMillion': '30'}
105,2020-04-13,"{'PerMillion': '1.4', 'PerUser': '2.00'}",28986,{'PerMillion': '32'}
106,2020-04-14,"{'PerMillion': '0.7', 'PerUser': '1.00'}",46835,{'PerMillion': '20'}
107,2020-04-15,"{'PerMillion': '1.1', 'PerUser': '1.00'}",30258,{'PerMillion': '33'}
108,2020-04-16,"{'PerMillion': '0.77', 'PerUser': '1.00'}",46076,{'PerMillion': '22'}
109,2020-04-17,"{'PerMillion': '1.8', 'PerUser': '2.00'}",20892,{'PerMillion': '39'}
110,2020-04-18,"{'PerMillion': '0.58', 'PerUser': '1.00'}",63943,{'PerMillion': '20'}
111,2020-04-19,"{'PerMillion': '0.5', 'PerUser': '1.00'}",75177,{'PerMillion': '10'}
112,2020-04-20,"{'PerMillion': '2', 'PerUser': '2.00'}",25546,{'PerMillion': '30'}
113,2020-04-21,"{'PerMillion': '1.3', 'PerUser': '1.00'}",27945,{'PerMillion': '30'}
114,2020-04-22,"{'PerMillion': '1.5', 'PerUser': '1.00'}",22020,{'PerMillion': '40'}
115,2020-04-23,"{'PerMillion': '0.89', 'PerUser': '2.00'}",43727,{'PerMillion': '22'}
116,2020-04-24,"{'PerMillion': '0.96', 'PerUser': '1.00'}",33924,{'PerMillion': '31'}
117,2020-04-25,"{'PerMillion': '0.5', 'PerUser': '1.00'}",58542,{'PerMillion': '20'}
118,2020-04-26,"{'PerMillion': '0.6', 'PerUser': '1.00'}",68082,{'PerMillion': '20'}
119,2020-04-27,"{'PerMillion': '1.1', 'PerUser': '2.00'}",35319,{'PerMillion': '27'}
120,2020-04-28,"{'PerMillion': '0.93', 'PerUser': '2.00'}",52230,{'PerMillion': '20'}
121,2020-04-29,"{'PerMillion': '0.85', 'PerUser': '1.00'}",39113,{'PerMillion': '27'}
122,2020-04-30,"{'PerMillion': '1.1', 'PerUser': '2.00'}",45814,{'PerMillion': '18'}
123,2020-05-01,"{'PerMillion': '0.3', 'PerUser': '1.00'}",94868,{'PerMillion': '10'}
124,2020-05-02,"{'PerMillion': '0.9', 'PerUser': '1.00'}",42035,{'PerMillion': '20'}
125,2020-05-03,"{'PerMillion': '2.1', 'PerUser': '4.00'}",38376,{'PerMillion': '20'}
126,2020-05-04,"{'PerMillion': '0.66', 'PerUser': '1.00'}",49055,{'PerMillion': '20'}
127,2020-05-05,"{'PerMillion': '1.5', 'PerUser': '1.00'}",21647,{'PerMillion': '40'}
128,2020-05-06,"{'PerMillion': '2', 'PerUser': '1.00'}",15753,{'PerMillion': '60'}
